id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,leaf_time,fk_time,pred_time,search_time
20240906144553,0.5,0.5,0,0,0,../datasets/books,alex,1269538,10000000,409530672,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,298660112,9704731446,198847853,8694964308
20240906144621,0.5,0.5,0,0,0,../datasets/fb,alex,1155215,10000000,497379280,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,1994080021,7174395839,198919071,5497731365
20240906144649,0.5,0.5,0,0,0,../datasets/osm,alex,1149356,10000000,494901248,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,1933128491,7528479966,198880079,5916820443
20240906144706,0.5,0.5,0,0,0,../datasets/wiki,alex,1414542,8146148,363860624,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,16292296,612171335,6531367168,162259105,5529411301
