id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,leaf_time,fk_time,pred_time,search_time
20240906170928,0.5,0.5,0,0,0,../datasets/books,alex,1811164,10000000,409530672,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,300007373,5358716800,217230144,4307991970
20240906170952,0.5,0.5,0,0,0,../datasets/fb,alex,1359013,10000000,497379280,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,2004153684,4860319548,840251916,2543684766
20240906171018,0.5,0.5,0,0,0,../datasets/osm,alex,1361131,10000000,494901248,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,20000000,1966960247,4990179246,685611899,2859051103
20240906171032,0.5,0.5,0,0,0,../datasets/wiki,alex,1916064,8146148,363860624,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,16292296,609709722,3861844472,336425219,2674497289
20240909185558,0.5,0.5,0,0,0,../datasets/books,alex,1500309,100000000,4097356400,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,4674053648,60528601038,2770369842,48762702070
20240909190148,0.5,0.5,0,0,0,../datasets/fb,alex,839321,100000000,4753330480,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41017711295,63320663532,8326081323,39666284605
20240909190649,0.5,0.5,0,0,0,../datasets/osm,alex,1019535,100000000,4578440720,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,27679318881,63969832801,7737403741,40762971215
20240909190814,0.5,0.5,0,0,0,../datasets/wiki,alex,1658894,45218505,1887472816,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,90437011,3454375590,27597699686,1706666322,21289736827
